DESAFIO-HYPERATIVA           20180524LOTE0001000010    
C2     4456897999999999                                
C1     4456897922969999                                
C3     4456897999999999                                
C4     4456897998199999                                
C5     4456897999999999124                             
C6     4456897912999999                                
C7     445689799999998                                 
C8     4456897919999999                                
C9     4456897999099999                                
C10    4456897919999999                                
LOTE0001000010                                         
